시장,종목,종목코드,내러티브,시장 배경,주의
한국주식,DB하이텍 (000990),000990,"DB하이텍 (000990)은 현재 소액/분할만 후보입니다. 재무 데이터 부족. 직접 연결된 뉴스는 아직 없으며, 시장 뉴스와 가격 반응을 함께 봅니다.",저장된 시장 기준 데이터입니다. / 저장된 시장 기준 데이터입니다.,뉴스·재무·차트가 동시에 맞을 때만 우선순위를 높입니다.
한국주식,DL이앤씨 (375500),375500,"DL이앤씨 (375500)은 현재 소액/분할만 후보입니다. 재무 데이터 부족. 직접 연결된 뉴스는 아직 없으며, 시장 뉴스와 가격 반응을 함께 봅니다.",저장된 시장 기준 데이터입니다. / 저장된 시장 기준 데이터입니다.,뉴스·재무·차트가 동시에 맞을 때만 우선순위를 높입니다.
한국주식,HD현대중공업 (329180),329180,"HD현대중공업 (329180)은 현재 소액/분할만 후보입니다. 재무 데이터 부족. 직접 연결된 뉴스는 아직 없으며, 시장 뉴스와 가격 반응을 함께 봅니다.",저장된 시장 기준 데이터입니다. / 저장된 시장 기준 데이터입니다.,뉴스·재무·차트가 동시에 맞을 때만 우선순위를 높입니다.
한국주식,HPSP (403870),403870,"HPSP (403870)은 현재 소액/분할만 후보입니다. 재무 데이터 부족. 직접 연결된 뉴스는 아직 없으며, 시장 뉴스와 가격 반응을 함께 봅니다.",저장된 시장 기준 데이터입니다. / 저장된 시장 기준 데이터입니다.,뉴스·재무·차트가 동시에 맞을 때만 우선순위를 높입니다.
한국주식,ISC (095340),095340,"ISC (095340)은 현재 소액/분할만 후보입니다. 재무 데이터 부족. 직접 연결된 뉴스는 아직 없으며, 시장 뉴스와 가격 반응을 함께 봅니다.",저장된 시장 기준 데이터입니다. / 저장된 시장 기준 데이터입니다.,뉴스·재무·차트가 동시에 맞을 때만 우선순위를 높입니다.
한국주식,LG유플러스 (032640),032640,"LG유플러스 (032640)은 현재 소액/분할만 후보입니다. 재무 데이터 부족. 직접 연결된 뉴스는 아직 없으며, 시장 뉴스와 가격 반응을 함께 봅니다.",저장된 시장 기준 데이터입니다. / 저장된 시장 기준 데이터입니다.,뉴스·재무·차트가 동시에 맞을 때만 우선순위를 높입니다.
한국주식,LS (006260),006260,"LS (006260)은 현재 소액/분할만 후보입니다. 재무 데이터 부족. 직접 연결된 뉴스는 아직 없으며, 시장 뉴스와 가격 반응을 함께 봅니다.",저장된 시장 기준 데이터입니다. / 저장된 시장 기준 데이터입니다.,뉴스·재무·차트가 동시에 맞을 때만 우선순위를 높입니다.
한국주식,SK텔레콤 (017670),017670,"SK텔레콤 (017670)은 현재 소액/분할만 후보입니다. 재무 데이터 부족. 직접 연결된 뉴스는 아직 없으며, 시장 뉴스와 가격 반응을 함께 봅니다.",저장된 시장 기준 데이터입니다. / 저장된 시장 기준 데이터입니다.,뉴스·재무·차트가 동시에 맞을 때만 우선순위를 높입니다.
한국주식,SK하이닉스 (000660),000660,"SK하이닉스 (000660)은 현재 소액/분할만 후보입니다. 재무 데이터 부족. 직접 연결된 뉴스는 아직 없으며, 시장 뉴스와 가격 반응을 함께 봅니다.",저장된 시장 기준 데이터입니다. / 저장된 시장 기준 데이터입니다.,뉴스·재무·차트가 동시에 맞을 때만 우선순위를 높입니다.
한국주식,두산테스나 (131970),131970,"두산테스나 (131970)은 현재 소액/분할만 후보입니다. 재무 데이터 부족. 직접 연결된 뉴스는 아직 없으며, 시장 뉴스와 가격 반응을 함께 봅니다.",저장된 시장 기준 데이터입니다. / 저장된 시장 기준 데이터입니다.,뉴스·재무·차트가 동시에 맞을 때만 우선순위를 높입니다.
한국주식,리노공업 (058470),058470,"리노공업 (058470)은 현재 소액/분할만 후보입니다. 재무 데이터 부족. 직접 연결된 뉴스는 아직 없으며, 시장 뉴스와 가격 반응을 함께 봅니다.",저장된 시장 기준 데이터입니다. / 저장된 시장 기준 데이터입니다.,뉴스·재무·차트가 동시에 맞을 때만 우선순위를 높입니다.
한국주식,삼성전자 (005930),005930,"삼성전자 (005930)은 현재 소액/분할만 후보입니다. 재무 데이터 부족. 직접 연결된 뉴스는 아직 없으며, 시장 뉴스와 가격 반응을 함께 봅니다.",저장된 시장 기준 데이터입니다. / 저장된 시장 기준 데이터입니다.,뉴스·재무·차트가 동시에 맞을 때만 우선순위를 높입니다.
