종목,시장,상태,기준가,손절가,목표가,해석,다음 행동
DB하이텍 (000990),한국주식,직전 장 기준 눌림/관찰,"161,980원","152,969원","197,445원",장전/장마감 시간에는 실시간보다 직전 장마감 기준으로 후보를 확인합니다.,현재가가 기준가 근처인지 장 시작 후 확인
HD현대중공업 (329180),한국주식,직전 장 기준 눌림/관찰,"631,997원","596,357원","727,074원",장전/장마감 시간에는 실시간보다 직전 장마감 기준으로 후보를 확인합니다.,현재가가 기준가 근처인지 장 시작 후 확인
ISC (95340),한국주식,직전 장 기준 눌림/관찰,"198,016원","188,026원","223,437원",장전/장마감 시간에는 실시간보다 직전 장마감 기준으로 후보를 확인합니다.,현재가가 기준가 근처인지 장 시작 후 확인
LG유플러스 (032640),한국주식,직전 장 기준 눌림/관찰,"15,133원","14,787원","15,790원",장전/장마감 시간에는 실시간보다 직전 장마감 기준으로 후보를 확인합니다.,현재가가 기준가 근처인지 장 시작 후 확인
LIG넥스원 (79550),한국주식,직전 장 기준 눌림/관찰,"818,085원","785,083원","899,894원",장전/장마감 시간에는 실시간보다 직전 장마감 기준으로 후보를 확인합니다.,현재가가 기준가 근처인지 장 시작 후 확인
LS (006260),한국주식,직전 장 기준 눌림/관찰,"501,331원","459,284원","581,627원",장전/장마감 시간에는 실시간보다 직전 장마감 기준으로 후보를 확인합니다.,현재가가 기준가 근처인지 장 시작 후 확인
POSCO홀딩스 (5490),한국주식,직전 장 기준 눌림/관찰,"429,760원","414,621원","472,736원",장전/장마감 시간에는 실시간보다 직전 장마감 기준으로 후보를 확인합니다.,현재가가 기준가 근처인지 장 시작 후 확인
SK (034730),한국주식,직전 장 기준 눌림/관찰,"526,383원","502,637원","593,691원",장전/장마감 시간에는 실시간보다 직전 장마감 기준으로 후보를 확인합니다.,현재가가 기준가 근처인지 장 시작 후 확인
대덕전자 (353200),한국주식,직전 장 기준 눌림/관찰,"125,313원","118,424원","147,816원",장전/장마감 시간에는 실시간보다 직전 장마감 기준으로 후보를 확인합니다.,현재가가 기준가 근처인지 장 시작 후 확인
두산에너빌리티 (034020),한국주식,직전 장 기준 눌림/관찰,"99,473원","95,565원","106,477원",장전/장마감 시간에는 실시간보다 직전 장마감 기준으로 후보를 확인합니다.,현재가가 기준가 근처인지 장 시작 후 확인
두산에너빌리티 (34020),한국주식,직전 장 기준 눌림/관찰,"103,453원","99,665원","113,798원",장전/장마감 시간에는 실시간보다 직전 장마감 기준으로 후보를 확인합니다.,현재가가 기준가 근처인지 장 시작 후 확인
두산테스나 (131970),한국주식,직전 장 기준 눌림/관찰,"161,661원","151,617원","194,698원",장전/장마감 시간에는 실시간보다 직전 장마감 기준으로 후보를 확인합니다.,현재가가 기준가 근처인지 장 시작 후 확인
삼성화재해상보험 (810),한국주식,직전 장 기준 눌림/관찰,"550,323원","537,708원","605,355원",장전/장마감 시간에는 실시간보다 직전 장마감 기준으로 후보를 확인합니다.,현재가가 기준가 근처인지 장 시작 후 확인
심텍 (222800),한국주식,직전 장 기준 눌림/관찰,"97,942원","92,785원","107,736원",장전/장마감 시간에는 실시간보다 직전 장마감 기준으로 후보를 확인합니다.,현재가가 기준가 근처인지 장 시작 후 확인
주성엔지니어링 (036930),한국주식,직전 장 기준 눌림/관찰,"168,617원","141,638원","211,626원",장전/장마감 시간에는 실시간보다 직전 장마감 기준으로 후보를 확인합니다.,현재가가 기준가 근처인지 장 시작 후 확인
팬오션 (28670),한국주식,직전 장 기준 눌림/관찰,"5,857원","5,653원","6,305원",장전/장마감 시간에는 실시간보다 직전 장마감 기준으로 후보를 확인합니다.,현재가가 기준가 근처인지 장 시작 후 확인
한화에어로스페이스 (012450),한국주식,직전 장 기준 눌림/관찰,"1,251,421원","1,210,760원","1,338,365원",장전/장마감 시간에는 실시간보다 직전 장마감 기준으로 후보를 확인합니다.,현재가가 기준가 근처인지 장 시작 후 확인
현대건설 (720),한국주식,직전 장 기준 눌림/관찰,"136,899원","131,501원","150,589원",장전/장마감 시간에는 실시간보다 직전 장마감 기준으로 후보를 확인합니다.,현재가가 기준가 근처인지 장 시작 후 확인
현대차 (5380),한국주식,직전 장 기준 눌림/관찰,"593,683원","567,348원","653,051원",장전/장마감 시간에는 실시간보다 직전 장마감 기준으로 후보를 확인합니다.,현재가가 기준가 근처인지 장 시작 후 확인
