시장,우선순위,행동,종목,기준가,손절가,목표가,초보자 안내,이유,가격기준,추천사유
한국주식,중간,소액/분할만,DB하이텍 (000990),"181,100원","172,045원","199,210원",확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,장전/장마감 시간이라 직전 장마감 가격으로 임시 기준을 표시합니다.,직전 장마감 기준 참고 · FinanceDataReader 직전 종가,시장가드·후보 점수 기준
한국주식,중간,소액/분할만,DL이앤씨 (375500),"82,200원","78,090원","90,420원",확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,장전/장마감 시간이라 직전 장마감 가격으로 임시 기준을 표시합니다.,직전 장마감 기준 참고 · FinanceDataReader 직전 종가,시장가드·후보 점수 기준
한국주식,중간,소액/분할만,HD현대중공업 (329180),"680,000원","646,000원","748,000원",확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,장전/장마감 시간이라 직전 장마감 가격으로 임시 기준을 표시합니다.,직전 장마감 기준 참고 · FinanceDataReader 직전 종가,시장가드·후보 점수 기준
한국주식,중간,소액/분할만,HPSP (403870),"54,700원","51,965원","60,170원",확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,장전/장마감 시간이라 직전 장마감 가격으로 임시 기준을 표시합니다.,직전 장마감 기준 참고 · FinanceDataReader 직전 종가,시장가드·후보 점수 기준
한국주식,중간,소액/분할만,ISC (095340),"210,000원","199,500원","231,000원",확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,장전/장마감 시간이라 직전 장마감 가격으로 임시 기준을 표시합니다.,직전 장마감 기준 참고 · FinanceDataReader 직전 종가,시장가드·후보 점수 기준
한국주식,중간,소액/분할만,LG유플러스 (032640),"15,760원","14,972원","17,336원",확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,장전/장마감 시간이라 직전 장마감 가격으로 임시 기준을 표시합니다.,직전 장마감 기준 참고 · FinanceDataReader 직전 종가,시장가드·후보 점수 기준
한국주식,중간,소액/분할만,LS (006260),"544,000원","516,800원","598,400원",확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,장전/장마감 시간이라 직전 장마감 가격으로 임시 기준을 표시합니다.,직전 장마감 기준 참고 · FinanceDataReader 직전 종가,시장가드·후보 점수 기준
한국주식,중간,소액/분할만,SK텔레콤 (017670),"102,800원","97,660원","113,080원",확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,장전/장마감 시간이라 직전 장마감 가격으로 임시 기준을 표시합니다.,직전 장마감 기준 참고 · FinanceDataReader 직전 종가,시장가드·후보 점수 기준
한국주식,중간,소액/분할만,SK하이닉스 (000660),"1,941,000원","1,843,950원","2,135,100원",확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,장전/장마감 시간이라 직전 장마감 가격으로 임시 기준을 표시합니다.,직전 장마감 기준 참고 · FinanceDataReader 직전 종가,시장가드·후보 점수 기준
한국주식,중간,소액/분할만,두산테스나 (131970),"171,600원","163,020원","188,760원",확신도가 높지 않습니다. 매수한다면 아주 작은 비중만 검토합니다.,장전/장마감 시간이라 직전 장마감 가격으로 임시 기준을 표시합니다.,직전 장마감 기준 참고 · FinanceDataReader 직전 종가,시장가드·후보 점수 기준
