시장구분,파일,원본행수,선택시장행수,시장
국장,v67_flow_kr.csv,5,0,한국주식
국장,intraday_flow_snapshot-Kang.csv,80,12,한국주식
국장,intraday_flow_snapshot-kang.csv,80,12,한국주식
국장,intraday_flow_snapshot.csv,5,0,한국주식
국장,intraday_realtime_snapshot-Kang.csv,145,12,한국주식
국장,intraday_realtime_snapshot-kang.csv,145,12,한국주식
국장,intraday_realtime_snapshot.csv,5,0,한국주식
국장,intraday_orderbook_snapshot-Kang.csv,145,12,한국주식
국장,intraday_orderbook_snapshot-kang.csv,145,12,한국주식
국장,intraday_orderbook_snapshot.csv,5,0,한국주식
국장,intraday_data_coverage_diagnosis-Kang.csv,145,12,한국주식
국장,intraday_data_coverage_diagnosis.csv,5,0,한국주식
