시장,종목코드,종목명,내러티브,다음행동
미국주식,SNDK,SanDisk,"SanDisk은 현재 정상 상태입니다. 수급 데이터는 아직 부족합니다. Stock Market Today, Feb. 25: Nasdaq Gains 1.3% As Nvidia Reignites AI Optimism    Yahoo Finance 가치 74.0, 성장 100, 안정성 85.0 기준으로 종합 85.1점입니다.",관심 유지 · 눌림 확인
미국주식,NBIS,Nebius,"Nebius은 현재 정상 상태입니다. 수급 데이터는 아직 부족합니다. Stock Market Today, Feb. 25: Nasdaq Gains 1.3% As Nvidia Reignites AI Optimism    Yahoo Finance 가치 52.0, 성장 75.0, 안정성 85.0 기준으로 종합 68.8점입니다.",관심 유지 · 눌림 확인
미국주식,CRCL,Circle,"Circle은 현재 정상 상태입니다. 수급 데이터는 아직 부족합니다. Stock Market Today, Feb. 25: Nasdaq Gains 1.3% As Nvidia Reignites AI Optimism    Yahoo Finance 가치 33.0, 성장 66.1, 안정성 73.0 기준으로 종합 54.9점입니다.",무리한 추격 금지
미국주식,BMNR,BMNR,"BMNR은 현재 정상 상태입니다. 수급 데이터는 아직 부족합니다. Stock Market Today, Feb. 25: Nasdaq Gains 1.3% As Nvidia Reignites AI Optimism    Yahoo Finance 가치 55.0, 성장 50.0, 안정성 85.0 기준으로 종합 62.5점입니다.",무리한 추격 금지
미국주식,AAOI,AAOI,"AAOI은 현재 정상 상태입니다. 수급점수 70.3, 기준 거래대금·거래량 보강입니다. Stock Market Today, Feb. 25: Nasdaq Gains 1.3% As Nvidia Reignites AI Optimism    Yahoo Finance 가치 38.0, 성장 59.9, 안정성 85.0 기준으로 종합 58.7점입니다.",무리한 추격 금지
미국주식,AAPL,AAPL,"AAPL은 현재 정상 상태입니다. 수급점수 68.6, 기준 거래대금·거래량 보강입니다. Stock Market Today, Feb. 25: Nasdaq Gains 1.3% As Nvidia Reignites AI Optimism    Yahoo Finance 가치 55.0, 성장 85.0, 안정성 63.0 기준으로 종합 66.4점입니다.",관심 유지 · 눌림 확인
미국주식,ACHR,ACHR,"ACHR은 현재 정상 상태입니다. 수급점수 66.9, 기준 거래대금·거래량 보강입니다. Stock Market Today, Feb. 25: Nasdaq Gains 1.3% As Nvidia Reignites AI Optimism    Yahoo Finance 가치 38.0, 성장 30.0, 안정성 85.0 기준으로 종합 49.7점입니다.",무리한 추격 금지
미국주식,ALAB,ALAB,"ALAB은 현재 정상 상태입니다. 수급점수 65.2, 기준 거래대금·거래량 보강입니다. Stock Market Today, Feb. 25: Nasdaq Gains 1.3% As Nvidia Reignites AI Optimism    Yahoo Finance 가치 55.0, 성장 94.5, 안정성 85.0 기준으로 종합 75.8점입니다.",관심 유지 · 눌림 확인
미국주식,XLE,XLE,"XLE은 현재 정상 상태입니다. 수급점수 64.5, 기준 거래대금·거래량 보강입니다. Stock Market Today, Feb. 25: Nasdaq Gains 1.3% As Nvidia Reignites AI Optimism    Yahoo Finance 가치 50.0, 성장 50.0, 안정성 55.0 기준으로 종합 51.5점입니다.",무리한 추격 금지
미국주식,AMD,AMD,"AMD은 현재 정상 상태입니다. 수급점수 63.5, 기준 거래대금·거래량 보강입니다. Stock Market Today, Feb. 25: Nasdaq Gains 1.3% As Nvidia Reignites AI Optimism    Yahoo Finance 가치 39.0, 성장 80.0, 안정성 85.0 기준으로 종합 65.1점입니다.",관심 유지 · 눌림 확인
미국주식,DDOG,DDOG,"DDOG은 현재 정상 상태입니다. 수급점수 63.3, 기준 거래대금·거래량 보강입니다. Stock Market Today, Feb. 25: Nasdaq Gains 1.3% As Nvidia Reignites AI Optimism    Yahoo Finance 가치 39.0, 성장 66.3, 안정성 85.0 기준으로 종합 61.0점입니다.",무리한 추격 금지
미국주식,INTC,INTC,"INTC은 현재 정상 상태입니다. 수급점수 62.6, 기준 거래대금·거래량 보강입니다. Stock Market Today, Feb. 25: Nasdaq Gains 1.3% As Nvidia Reignites AI Optimism    Yahoo Finance 가치 45.0, 성장 48.1, 안정성 85.0 기준으로 종합 57.9점입니다.",무리한 추격 금지
