시장,종목코드,종목명,데이터상태,종합점수,가치점수,성장점수,안정성점수,PER,PBR,ROE,매출,영업이익,순이익,핵심요약,다음행동
미국주식,SNDK,SanDisk,정상,85.1,74.0,100.0,85.0,48.59,0.75,42.33,-,-,-,"가치 74.0, 성장 100, 안정성 85.0 기준으로 종합 85.1점입니다.",관심 유지 · 눌림 확인
미국주식,NBIS,Nebius,정상,68.8,52.0,75.0,85.0,66.14,4.61,16.01,-,-,-,"가치 52.0, 성장 75.0, 안정성 85.0 기준으로 종합 68.8점입니다.",관심 유지 · 눌림 확인
미국주식,CRCL,Circle,정상,54.9,33.0,66.1,73.0,-,5.61,-2.6,-,-,-,"가치 33.0, 성장 66.1, 안정성 73.0 기준으로 종합 54.9점입니다.",무리한 추격 금지
미국주식,BMNR,BMNR,정상,62.5,55.0,50.0,85.0,30.85,0.87,-116.38,-,-,-,"가치 55.0, 성장 50.0, 안정성 85.0 기준으로 종합 62.5점입니다.",무리한 추격 금지
미국주식,AAOI,AAOI,정상,58.7,38.0,59.9,85.0,-,3.24,-6.14,-,-,-,"가치 38.0, 성장 59.9, 안정성 85.0 기준으로 종합 58.7점입니다.",무리한 추격 금지
미국주식,AAPL,AAPL,정상,66.4,55.0,85.0,63.0,37.0,50.98,146.69,-,-,-,"가치 55.0, 성장 85.0, 안정성 63.0 기준으로 종합 66.4점입니다.",관심 유지 · 눌림 확인
미국주식,ACHR,ACHR,정상,49.7,38.0,30.0,85.0,-,2.5,-38.99,-,-,-,"가치 38.0, 성장 30.0, 안정성 85.0 기준으로 종합 49.7점입니다.",무리한 추격 금지
미국주식,ALAB,ALAB,정상,75.8,55.0,94.5,85.0,196.55,20.61,20.33,-,-,-,"가치 55.0, 성장 94.5, 안정성 85.0 기준으로 종합 75.8점입니다.",관심 유지 · 눌림 확인
미국주식,XLE,XLE,정상,51.5,50.0,50.0,55.0,-,-,-,-,-,-,"가치 50.0, 성장 50.0, 안정성 55.0 기준으로 종합 51.5점입니다.",무리한 추격 금지
미국주식,AMD,AMD,정상,65.1,39.0,80.0,85.0,152.19,5.57,8.08,-,-,-,"가치 39.0, 성장 80.0, 안정성 85.0 기준으로 종합 65.1점입니다.",관심 유지 · 눌림 확인
미국주식,DDOG,DDOG,정상,61.0,39.0,66.3,85.0,583.52,12.78,3.78,-,-,-,"가치 39.0, 성장 66.3, 안정성 85.0 기준으로 종합 61.0점입니다.",무리한 추격 금지
미국주식,INTC,INTC,정상,57.9,45.0,48.1,85.0,-,1.53,-2.95,-,-,-,"가치 45.0, 성장 48.1, 안정성 85.0 기준으로 종합 57.9점입니다.",무리한 추격 금지
미국주식,AMZN,AMZN,정상,68.2,64.0,69.0,73.0,31.55,6.0,23.34,-,-,-,"가치 64.0, 성장 69.0, 안정성 73.0 기준으로 종합 68.2점입니다.",관심 유지 · 눌림 확인
미국주식,NVDA,NVDA,정상,81.1,64.0,100.0,85.0,32.65,28.81,111.66,-,-,-,"가치 64.0, 성장 100, 안정성 85.0 기준으로 종합 81.1점입니다.",관심 유지 · 눌림 확인
미국주식,ANET,ANET,정상,76.1,55.0,95.3,85.0,52.13,13.34,30.58,-,-,-,"가치 55.0, 성장 95.3, 안정성 85.0 기준으로 종합 76.1점입니다.",관심 유지 · 눌림 확인
미국주식,CRWD,CRWD,정상,55.5,33.0,56.1,85.0,-,24.98,-4.15,-,-,-,"가치 33.0, 성장 56.1, 안정성 85.0 기준으로 종합 55.5점입니다.",무리한 추격 금지
