시장,종목코드,종목명,현재가,기준가,손절가,목표가,호가,수급점수,다음행동
한국주식,000990,DB하이텍 (000990),"181,100원","181,100원","172,045원","199,210원",직전장 기준 확인,61.8,장중이 아니면 직전장 기준가·거래대금·수급점수만 참고
한국주식,375500,DL이앤씨 (375500),"82,200원","82,200원","78,090원","90,420원",직전장 기준 확인,53.0,장중이 아니면 직전장 기준가·거래대금·수급점수만 참고
한국주식,329180,HD현대중공업 (329180),"680,000원","680,000원","646,000원","748,000원",직전장 기준 확인,57.6,장중이 아니면 직전장 기준가·거래대금·수급점수만 참고
한국주식,032640,LG유플러스 (032640),"15,760원","15,760원","14,972원","17,336원",직전장 기준 확인,-,장중이 아니면 직전장 기준가·거래대금·수급점수만 참고
한국주식,017670,SK텔레콤 (017670),"102,800원","102,800원","97,660원","113,080원",직전장 기준 확인,-,장중이 아니면 직전장 기준가·거래대금·수급점수만 참고
한국주식,000660,SK하이닉스 (000660),"1,941,000원","1,941,000원","1,843,950원","2,135,100원",직전장 기준 확인,66.9,장중이 아니면 직전장 기준가·거래대금·수급점수만 참고
한국주식,131970,두산테스나 (131970),"171,600원","171,600원","163,020원","188,760원",직전장 기준 확인,51.5,장중이 아니면 직전장 기준가·거래대금·수급점수만 참고
한국주식,058470,리노공업 (058470),"106,500원","106,500원","101,175원","117,150원",직전장 기준 확인,-,장중이 아니면 직전장 기준가·거래대금·수급점수만 참고
한국주식,005930,삼성전자 (005930),"292,500원","292,500원","277,875원","321,750원",직전장 기준 확인,-,장중이 아니면 직전장 기준가·거래대금·수급점수만 참고
한국주식,222800,심텍 (222800),"131,800원","131,800원","125,210원","144,980원",직전장 기준 확인,39.7,장중이 아니면 직전장 기준가·거래대금·수급점수만 참고
한국주식,012450,한화에어로스페이스 (012450),"1,261,000원","1,261,000원","1,197,950원","1,387,100원",직전장 기준 확인,50.0,장중이 아니면 직전장 기준가·거래대금·수급점수만 참고
한국주식,003550,LG,직전장 기준 확인 필요,-,-,-,직전장 기준 확인,70.3,장중이 아니면 직전장 기준가·거래대금·수급점수만 참고
한국주식,000100,유한양행,직전장 기준 확인 필요,-,-,-,직전장 기준 확인,70.3,장중이 아니면 직전장 기준가·거래대금·수급점수만 참고
한국주식,010120,엘에스일렉트릭,직전장 기준 확인 필요,-,-,-,직전장 기준 확인,68.6,장중이 아니면 직전장 기준가·거래대금·수급점수만 참고
한국주식,000270,기아,직전장 기준 확인 필요,-,-,-,직전장 기준 확인,68.6,장중이 아니면 직전장 기준가·거래대금·수급점수만 참고
한국주식,259960,크래프톤,직전장 기준 확인 필요,-,-,-,직전장 기준 확인,66.9,장중이 아니면 직전장 기준가·거래대금·수급점수만 참고
한국주식,003490,대한항공,직전장 기준 확인 필요,-,-,-,직전장 기준 확인,65.2,장중이 아니면 직전장 기준가·거래대금·수급점수만 참고
한국주식,000720,현대건설,직전장 기준 확인 필요,-,-,-,직전장 기준 확인,65.2,장중이 아니면 직전장 기준가·거래대금·수급점수만 참고
한국주식,028670,팬오션,직전장 기준 확인 필요,-,-,-,직전장 기준 확인,63.5,장중이 아니면 직전장 기준가·거래대금·수급점수만 참고
한국주식,000810,삼성화재해상보험,직전장 기준 확인 필요,-,-,-,직전장 기준 확인,63.5,장중이 아니면 직전장 기준가·거래대금·수급점수만 참고
한국주식,278470,에이피알,직전장 기준 확인 필요,-,-,-,직전장 기준 확인,61.8,장중이 아니면 직전장 기준가·거래대금·수급점수만 참고
한국주식,095340,ISC,직전장 기준 확인 필요,-,-,-,직전장 기준 확인,50.0,장중이 아니면 직전장 기준가·거래대금·수급점수만 참고
한국주식,004020,현대제철,직전장 기준 확인 필요,-,-,-,직전장 기준 확인,50.0,장중이 아니면 직전장 기준가·거래대금·수급점수만 참고
한국주식,010950,S-Oil,직전장 기준 확인 필요,-,-,-,직전장 기준 확인,50.0,장중이 아니면 직전장 기준가·거래대금·수급점수만 참고
한국주식,277810,레인보우로보틱스,직전장 기준 확인 필요,-,-,-,직전장 기준 확인,50.0,장중이 아니면 직전장 기준가·거래대금·수급점수만 참고
한국주식,005380,현대차,직전장 기준 확인 필요,-,-,-,직전장 기준 확인,-,장중이 아니면 직전장 기준가·거래대금·수급점수만 참고
한국주식,011070,LG이노텍,직전장 기준 확인 필요,-,-,-,직전장 기준 확인,-,장중이 아니면 직전장 기준가·거래대금·수급점수만 참고
한국주식,005490,POSCO홀딩스,직전장 기준 확인 필요,-,-,-,직전장 기준 확인,-,장중이 아니면 직전장 기준가·거래대금·수급점수만 참고
한국주식,079550,LIG넥스원,직전장 기준 확인 필요,-,-,-,직전장 기준 확인,-,장중이 아니면 직전장 기준가·거래대금·수급점수만 참고
한국주식,034020,두산에너빌리티,직전장 기준 확인 필요,-,-,-,직전장 기준 확인,-,장중이 아니면 직전장 기준가·거래대금·수급점수만 참고
한국주식,018260,삼성에스디에스,직전장 기준 확인 필요,-,-,-,직전장 기준 확인,-,장중이 아니면 직전장 기준가·거래대금·수급점수만 참고
한국주식,042700,한미반도체,직전장 기준 확인 필요,-,-,-,직전장 기준 확인,-,장중이 아니면 직전장 기준가·거래대금·수급점수만 참고
한국주식,007660,이수페타시스,직전장 기준 확인 필요,-,-,-,직전장 기준 확인,-,장중이 아니면 직전장 기준가·거래대금·수급점수만 참고
한국주식,403870,HPSP (403870),직전장 기준 확인 필요,-,-,-,직전장 기준 확인,-,장중이 아니면 직전장 기준가·거래대금·수급점수만 참고
한국주식,067310,하나마이크론,직전장 기준 확인 필요,-,-,-,직전장 기준 확인,-,장중이 아니면 직전장 기준가·거래대금·수급점수만 참고
한국주식,036930,주성엔지니어링,직전장 기준 확인 필요,-,-,-,직전장 기준 확인,-,장중이 아니면 직전장 기준가·거래대금·수급점수만 참고
한국주식,009150,삼성전기,직전장 기준 확인 필요,-,-,-,직전장 기준 확인,-,장중이 아니면 직전장 기준가·거래대금·수급점수만 참고
한국주식,267260,HD현대일렉트릭,직전장 기준 확인 필요,-,-,-,직전장 기준 확인,-,장중이 아니면 직전장 기준가·거래대금·수급점수만 참고
한국주식,298040,효성중공업,직전장 기준 확인 필요,-,-,-,직전장 기준 확인,-,장중이 아니면 직전장 기준가·거래대금·수급점수만 참고
한국주식,006260,LS (006260),직전장 기준 확인 필요,-,-,-,직전장 기준 확인,-,장중이 아니면 직전장 기준가·거래대금·수급점수만 참고
한국주식,001440,대한전선,직전장 기준 확인 필요,-,-,-,직전장 기준 확인,-,장중이 아니면 직전장 기준가·거래대금·수급점수만 참고
한국주식,103590,일진전기,직전장 기준 확인 필요,-,-,-,직전장 기준 확인,-,장중이 아니면 직전장 기준가·거래대금·수급점수만 참고
한국주식,047810,한국항공우주,직전장 기준 확인 필요,-,-,-,직전장 기준 확인,-,장중이 아니면 직전장 기준가·거래대금·수급점수만 참고
한국주식,064350,현대로템,직전장 기준 확인 필요,-,-,-,직전장 기준 확인,-,장중이 아니면 직전장 기준가·거래대금·수급점수만 참고
한국주식,272210,한화시스템,직전장 기준 확인 필요,-,-,-,직전장 기준 확인,-,장중이 아니면 직전장 기준가·거래대금·수급점수만 참고
한국주식,009540,HD한국조선해양,직전장 기준 확인 필요,-,-,-,직전장 기준 확인,-,장중이 아니면 직전장 기준가·거래대금·수급점수만 참고
한국주식,010140,삼성중공업,직전장 기준 확인 필요,-,-,-,직전장 기준 확인,-,장중이 아니면 직전장 기준가·거래대금·수급점수만 참고
한국주식,042660,한화오션,직전장 기준 확인 필요,-,-,-,직전장 기준 확인,-,장중이 아니면 직전장 기준가·거래대금·수급점수만 참고
한국주식,454910,두산로보틱스,직전장 기준 확인 필요,-,-,-,직전장 기준 확인,-,장중이 아니면 직전장 기준가·거래대금·수급점수만 참고
한국주식,108490,로보티즈,직전장 기준 확인 필요,-,-,-,직전장 기준 확인,-,장중이 아니면 직전장 기준가·거래대금·수급점수만 참고
한국주식,090360,로보스타,직전장 기준 확인 필요,-,-,-,직전장 기준 확인,-,장중이 아니면 직전장 기준가·거래대금·수급점수만 참고
한국주식,012330,현대모비스,직전장 기준 확인 필요,-,-,-,직전장 기준 확인,-,장중이 아니면 직전장 기준가·거래대금·수급점수만 참고
한국주식,015760,한국전력,직전장 기준 확인 필요,-,-,-,직전장 기준 확인,-,장중이 아니면 직전장 기준가·거래대금·수급점수만 참고
한국주식,035420,035420,직전장 기준 확인 필요,-,-,-,직전장 기준 확인,-,장중이 아니면 직전장 기준가·거래대금·수급점수만 참고
한국주식,035720,카카오,직전장 기준 확인 필요,-,-,-,직전장 기준 확인,-,장중이 아니면 직전장 기준가·거래대금·수급점수만 참고
한국주식,402340,SK스퀘어,직전장 기준 확인 필요,-,-,-,직전장 기준 확인,-,장중이 아니면 직전장 기준가·거래대금·수급점수만 참고
한국주식,207940,삼성바이오로직스,직전장 기준 확인 필요,-,-,-,직전장 기준 확인,-,장중이 아니면 직전장 기준가·거래대금·수급점수만 참고
한국주식,068270,셀트리온,직전장 기준 확인 필요,-,-,-,직전장 기준 확인,-,장중이 아니면 직전장 기준가·거래대금·수급점수만 참고
한국주식,196170,알테오젠,직전장 기준 확인 필요,-,-,-,직전장 기준 확인,-,장중이 아니면 직전장 기준가·거래대금·수급점수만 참고
한국주식,214450,파마리서치,직전장 기준 확인 필요,-,-,-,직전장 기준 확인,-,장중이 아니면 직전장 기준가·거래대금·수급점수만 참고
한국주식,214150,클래시스,직전장 기준 확인 필요,-,-,-,직전장 기준 확인,-,장중이 아니면 직전장 기준가·거래대금·수급점수만 참고
