시장,종목코드,종목명,분류,요약,확인포인트,다음행동
한국주식,000990,DB하이텍 (000990),오늘 확인,DB하이텍 (000990)은 오늘 우선 확인 후보입니다.,"현재가가 기준가에 가까운지, 손절가가 명확한지 확인합니다.",기준가·손절가·목표가 확인 후 접근
한국주식,375500,DL이앤씨 (375500),오늘 확인,DL이앤씨 (375500)은 오늘 우선 확인 후보입니다.,"현재가가 기준가에 가까운지, 손절가가 명확한지 확인합니다.",기준가·손절가·목표가 확인 후 접근
한국주식,329180,HD현대중공업 (329180),오늘 확인,HD현대중공업 (329180)은 오늘 우선 확인 후보입니다.,"현재가가 기준가에 가까운지, 손절가가 명확한지 확인합니다.",기준가·손절가·목표가 확인 후 접근
한국주식,032640,LG유플러스 (032640),오늘 확인,LG유플러스 (032640)은 오늘 우선 확인 후보입니다.,"현재가가 기준가에 가까운지, 손절가가 명확한지 확인합니다.",기준가·손절가·목표가 확인 후 접근
한국주식,017670,SK텔레콤 (017670),오늘 확인,SK텔레콤 (017670)은 오늘 우선 확인 후보입니다.,"현재가가 기준가에 가까운지, 손절가가 명확한지 확인합니다.",기준가·손절가·목표가 확인 후 접근
한국주식,000660,SK하이닉스 (000660),오늘 확인,SK하이닉스 (000660)은 오늘 우선 확인 후보입니다.,"현재가가 기준가에 가까운지, 손절가가 명확한지 확인합니다.",기준가·손절가·목표가 확인 후 접근
한국주식,131970,두산테스나 (131970),오늘 확인,두산테스나 (131970)은 오늘 우선 확인 후보입니다.,"현재가가 기준가에 가까운지, 손절가가 명확한지 확인합니다.",기준가·손절가·목표가 확인 후 접근
한국주식,058470,리노공업 (058470),오늘 확인,리노공업 (058470)은 오늘 우선 확인 후보입니다.,"현재가가 기준가에 가까운지, 손절가가 명확한지 확인합니다.",기준가·손절가·목표가 확인 후 접근
한국주식,003550,LG,수급,LG은 거래대금·수급 흐름이 포착된 후보입니다.,수급점수 70.3. 장 시작 후 거래대금 지속 여부를 봅니다.,추격매수보다 기준가 근처에서만 검토
한국주식,000100,유한양행,수급,유한양행은 거래대금·수급 흐름이 포착된 후보입니다.,수급점수 70.3. 장 시작 후 거래대금 지속 여부를 봅니다.,추격매수보다 기준가 근처에서만 검토
한국주식,010120,엘에스일렉트릭,수급,엘에스일렉트릭은 거래대금·수급 흐름이 포착된 후보입니다.,수급점수 68.6. 장 시작 후 거래대금 지속 여부를 봅니다.,추격매수보다 기준가 근처에서만 검토
한국주식,000270,기아,수급,기아은 거래대금·수급 흐름이 포착된 후보입니다.,수급점수 68.6. 장 시작 후 거래대금 지속 여부를 봅니다.,추격매수보다 기준가 근처에서만 검토
