symbol,ticker,code,종목코드,name,종목명,market,시장,current_price,last_price,현재가,가격기준시각,가격출처,quote_source_label,data_status,price_data_status,기준가,손절가,목표가,다음행동,updated_at
NVDA,NVDA,NVDA,NVDA,NVDA,NVDA,미국주식,미국주식,215.33,215.33,$215.33,2026-05-26 09:37:07 KST,KIS 해외 현재가 · 2026-05-26 09:37:07 KST,KIS 해외 현재가,현재가 반영,success,-,-,-,현재가·기준가·손절가 확인 후 판단,2026-05-26 09:37:07 KST
GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,미국주식,미국주식,382.97,382.97,$382.97,05-26 09:30 KST,KIS 해외 현재가 · 05-26 09:30 KST,KIS 해외 현재가,현재가 반영,success,-,-,-,현재가·기준가·손절가 확인 후 판단,2026-05-26 09:37:07 KST
TSLA,TSLA,TSLA,TSLA,TSLA,TSLA,미국주식,미국주식,426.01,426.01,$426.01,2026-05-26 09:37:07 KST,KIS 해외 현재가 · 2026-05-26 09:37:07 KST,KIS 해외 현재가,현재가 반영,success,-,-,-,현재가·기준가·손절가 확인 후 판단,2026-05-26 09:37:07 KST
PLTR,PLTR,PLTR,PLTR,PLTR,PLTR,미국주식,미국주식,136.88,136.88,$136.88,05-26 09:30 KST,KIS 해외 현재가 · 05-26 09:30 KST,KIS 해외 현재가,현재가 반영,success,-,-,-,현재가·기준가·손절가 확인 후 판단,2026-05-26 09:37:07 KST
INTC,INTC,INTC,INTC,INTC,INTC,미국주식,미국주식,119.84,119.84,$119.84,2026-05-26 09:37:07 KST,KIS 해외 현재가 · 2026-05-26 09:37:07 KST,KIS 해외 현재가,현재가 반영,success,-,-,-,현재가·기준가·손절가 확인 후 판단,2026-05-26 09:37:07 KST
LITE,LITE,LITE,LITE,LITE,LITE,미국주식,미국주식,946.9,946.9,$946.90,2026-05-26 09:37:07 KST,KIS 해외 현재가 · 2026-05-26 09:37:07 KST,KIS 해외 현재가,현재가 반영,success,-,-,-,현재가·기준가·손절가 확인 후 판단,2026-05-26 09:37:07 KST
SNDK,SNDK,SNDK,SNDK,SNDK,SNDK,미국주식,미국주식,1478.69,1478.69,"$1,478.69",2026-05-26 09:37:07 KST,KIS 해외 현재가 · 2026-05-26 09:37:07 KST,KIS 해외 현재가,현재가 반영,success,-,-,-,현재가·기준가·손절가 확인 후 판단,2026-05-26 09:37:07 KST
CAT,CAT,CAT,CAT,CAT,CAT,미국주식,미국주식,879.89,879.89,$879.89,2026-05-26 09:37:07 KST,KIS 해외 현재가 · 2026-05-26 09:37:07 KST,KIS 해외 현재가,현재가 반영,success,-,-,-,현재가·기준가·손절가 확인 후 판단,2026-05-26 09:37:07 KST
CRCL,CRCL,CRCL,CRCL,CRCL,CRCL,미국주식,미국주식,113.12,113.12,$113.12,2026-05-26 09:37:07 KST,KIS 해외 현재가 · 2026-05-26 09:37:07 KST,KIS 해외 현재가,현재가 반영,success,-,-,-,현재가·기준가·손절가 확인 후 판단,2026-05-26 09:37:07 KST
NBIS,NBIS,NBIS,NBIS,NBIS,NBIS,미국주식,미국주식,214.77,214.77,$214.77,2026-05-26 09:37:07 KST,KIS 해외 현재가 · 2026-05-26 09:37:07 KST,KIS 해외 현재가,현재가 반영,success,-,-,-,현재가·기준가·손절가 확인 후 판단,2026-05-26 09:37:07 KST
