시장,종목코드,종목명,분류,1일상승확률,3일상승확률,5일상승확률,다음행동
미국주식,PLTR,PLTR,수급,62%,65%,67%,실제 결과가 쌓이면 자동 보정
미국주식,TSLA,TSLA,수급,62%,65%,67%,실제 결과가 쌓이면 자동 보정
미국주식,SNOW,SNOW,수급,62%,65%,67%,실제 결과가 쌓이면 자동 보정
미국주식,MDB,MDB,수급,62%,65%,67%,실제 결과가 쌓이면 자동 보정
미국주식,DUOL,DUOL,수급,62%,65%,67%,실제 결과가 쌓이면 자동 보정
미국주식,CRM,CRM,수급,62%,65%,67%,실제 결과가 쌓이면 자동 보정
미국주식,PATH,PATH,수급,62%,65%,67%,실제 결과가 쌓이면 자동 보정
미국주식,OKTA,OKTA,수급,62%,65%,67%,실제 결과가 쌓이면 자동 보정
미국주식,ESTC,ESTC,수급,62%,65%,67%,실제 결과가 쌓이면 자동 보정
미국주식,MSFT,MSFT,수급,62%,65%,67%,실제 결과가 쌓이면 자동 보정
미국주식,APP,APP,수급,62%,65%,67%,실제 결과가 쌓이면 자동 보정
미국주식,S,S,수급,62%,65%,67%,실제 결과가 쌓이면 자동 보정
미국주식,NET,NET,수급,62%,65%,67%,실제 결과가 쌓이면 자동 보정
미국주식,GOOGL,GOOGL,수급,62%,65%,67%,실제 결과가 쌓이면 자동 보정
미국주식,AMZN,Amazon (AMZN),오늘확인,58%,61%,63%,실제 결과가 쌓이면 자동 보정
미국주식,CAT,Caterpillar (CAT),오늘확인,58%,61%,63%,실제 결과가 쌓이면 자동 보정
미국주식,CRCL,Circle (CRCL),오늘확인,58%,61%,63%,실제 결과가 쌓이면 자동 보정
미국주식,COST,Costco (COST),오늘확인,58%,61%,63%,실제 결과가 쌓이면 자동 보정
