market,mode,horizon,strategy,window,windowIndex,correctionParamsUsed,pastSampleCount,recommendationCount,executionCount,executionRate,winCount,winRate,stopCount,stopHitRate,missEntryRate,avgNetPnlPct,cumulativeNetPnlPct,mddPct,avgHoldingDays,profitLossRatio
us,conservative,short,baseline,2024-09-01,0,False,0,38,23,60.5,0,0.0,0,0.0,39.5,-2.021,-46.492,-46.49,3.0,0.44
us,conservative,short,corrected,2024-09-01,0,False,0,38,23,60.5,0,0.0,0,0.0,39.5,-2.021,-46.492,-46.49,3.0,0.44
us,conservative,short,baseline,2024-10-01,1,True,38,40,16,40.0,0,0.0,0,0.0,60.0,0.663,10.607,-5.03,3.0,2.21
us,conservative,short,corrected,2024-10-01,1,True,38,40,16,40.0,0,0.0,0,0.0,60.0,0.903,14.456,-5.28,3.0,2.15
us,conservative,short,baseline,2024-11-01,2,True,78,36,19,52.8,5,26.3,4,21.1,47.2,3.204,60.884,-8.53,3.0,2.17
us,conservative,short,corrected,2024-11-01,2,True,78,36,21,58.3,7,33.3,3,14.3,41.7,3.407,71.557,-6.23,3.0,2.27
us,conservative,short,baseline,2024-12-01,3,True,114,35,28,80.0,0,0.0,0,0.0,20.0,-0.093,-2.591,-17.08,3.0,1.25
us,conservative,short,corrected,2024-12-01,3,True,114,35,26,74.3,0,0.0,0,0.0,25.7,0.116,3.014,-14.6,3.0,1.09
us,conservative,short,baseline,2025-01-01,4,True,149,25,18,72.0,3,16.7,0,0.0,28.0,1.02,18.357,-6.42,2.0,1.64
us,conservative,short,corrected,2025-01-01,4,True,149,25,18,72.0,3,16.7,0,0.0,28.0,0.883,15.893,-7.38,2.0,1.5
us,conservative,short,baseline,2025-02-01,5,True,174,35,32,91.4,0,0.0,0,0.0,8.6,0.126,4.035,-16.0,3.0,0.98
us,conservative,short,corrected,2025-02-01,5,True,174,35,29,82.9,0,0.0,0,0.0,17.1,0.219,6.338,-15.51,3.0,0.72
us,conservative,short,baseline,2025-03-01,6,True,209,20,19,95.0,1,5.3,0,0.0,5.0,-1.782,-33.849,-33.85,2.0,0.89
us,conservative,short,corrected,2025-03-01,6,True,209,20,18,90.0,1,5.6,0,0.0,10.0,-1.746,-31.426,-31.43,2.0,0.85
us,conservative,short,baseline,2025-04-01,7,True,229,20,17,85.0,1,5.9,0,0.0,15.0,-2.073,-35.248,-36.58,2.0,1.39
us,conservative,short,corrected,2025-04-01,7,True,229,20,16,80.0,1,6.2,0,0.0,20.0,-2.037,-32.596,-33.84,2.0,1.43
us,conservative,short,baseline,2025-05-01,8,True,249,18,5,27.8,1,20.0,1,20.0,72.2,0.937,4.685,-5.02,3.0,1.16
us,conservative,short,corrected,2025-05-01,8,True,249,18,6,33.3,1,16.7,2,33.3,66.7,0.054,0.324,-5.67,3.0,1.03
us,conservative,short,baseline,2025-06-01,9,True,267,37,27,73.0,0,0.0,0,0.0,27.0,1.303,35.168,-3.66,3.0,2.9
us,conservative,short,corrected,2025-06-01,9,True,267,37,26,70.3,0,0.0,0,0.0,29.7,0.898,23.356,-5.34,3.0,2.06
us,conservative,short,baseline,2025-07-01,10,True,304,39,19,48.7,0,0.0,0,0.0,51.3,-0.131,-2.484,-9.93,3.0,1.81
us,conservative,short,corrected,2025-07-01,10,True,304,39,16,41.0,0,0.0,0,0.0,59.0,-0.048,-0.773,-7.06,3.0,1.56
us,conservative,short,baseline,2025-08-01,11,True,343,36,20,55.6,0,0.0,0,0.0,44.4,1.653,33.07,-10.9,3.0,1.48
us,conservative,short,corrected,2025-08-01,11,True,343,36,21,58.3,0,0.0,0,0.0,41.7,1.393,29.263,-15.69,3.0,1.38
us,conservative,short,baseline,2025-09-01,12,True,379,39,24,61.5,1,4.2,0,0.0,38.5,0.828,19.861,-8.31,3.0,0.83
us,conservative,short,corrected,2025-09-01,12,True,379,39,20,51.3,1,5.0,0,0.0,48.7,1.185,23.692,-8.49,3.0,0.83
us,conservative,short,baseline,2025-10-01,13,True,418,38,18,47.4,0,0.0,0,0.0,52.6,0.699,12.59,-3.92,3.0,0.62
us,conservative,short,corrected,2025-10-01,13,True,418,38,20,52.6,0,0.0,0,0.0,47.4,0.443,8.866,-6.65,3.0,0.83
us,conservative,short,baseline,2025-11-01,14,True,456,37,28,75.7,0,0.0,0,0.0,24.3,-2.159,-60.461,-60.48,3.0,0.24
us,conservative,short,corrected,2025-11-01,14,True,456,37,29,78.4,0,0.0,0,0.0,21.6,-2.624,-76.109,-76.11,3.0,0.16
us,conservative,short,baseline,2025-12-01,15,True,493,24,17,70.8,2,11.8,1,5.9,29.2,1.056,17.957,-6.29,3.0,2.24
us,conservative,short,corrected,2025-12-01,15,True,493,24,16,66.7,1,6.2,1,6.2,33.3,0.501,8.019,-6.67,3.0,2.13
us,conservative,short,baseline,2026-01-01,16,True,517,40,33,82.5,6,18.2,11,33.3,17.5,-0.056,-1.86,-21.19,3.0,0.8
us,conservative,short,corrected,2026-01-01,16,True,517,40,30,75.0,5,16.7,13,43.3,25.0,-0.409,-12.265,-26.05,3.0,0.94
us,conservative,short,baseline,2026-02-01,17,True,557,38,26,68.4,4,15.4,9,34.6,31.6,-0.555,-14.43,-27.56,3.0,0.99
