market,symbol,name,memo,targetReason,autoWatchCategory,autoWatchScore,finalScore,expectedValue,mode,horizon,decisionBucket,timingLabel,candidateTypeLabel,updated_at
kr,035420,035420,자동선별 · 눌림목 · 성장 · 모멘텀,눌림목 · 성장 · 모멘텀,눌림목 · 성장 · 모멘텀,117.38,74.6,11.75,aggressive,mid,대기 관찰,눌림 대기,,2026-06-08 15:19:22 KST
kr,005930,005930,자동선별 · 눌림목 · 모멘텀,눌림목 · 모멘텀,눌림목 · 모멘텀,92.6,81.7,12.6,aggressive,mid,대기 관찰,눌림 대기,,2026-06-08 15:19:22 KST
kr,138040,138040,자동선별 · 눌림목 · 모멘텀,눌림목 · 모멘텀,눌림목 · 모멘텀,91.47,83.2,8.67,conservative,mid,오늘 진입,수렴 진입,,2026-06-08 15:19:22 KST
kr,003550,003550,자동선별 · 눌림목 · 모멘텀,눌림목 · 모멘텀,눌림목 · 모멘텀,91.45,75.3,11.84,aggressive,mid,오늘 진입,즉시 진입,,2026-06-08 15:19:22 KST
kr,KOSPI,KOSPI,자동선별 · 눌림목 · 모멘텀,눌림목 · 모멘텀,눌림목 · 모멘텀,91.44,72.6,11.17,aggressive,mid,오늘 진입,즉시 진입,,2026-06-08 15:19:22 KST
kr,403870,403870,자동선별 · 눌림목 · 성장,눌림목 · 성장,눌림목 · 성장,91.34,65.7,0.71,conservative,short,대기 관찰,1~2일 후 진입,,2026-06-08 15:19:22 KST
kr,402340,402340,자동선별 · 눌림목 · 모멘텀,눌림목 · 모멘텀,눌림목 · 모멘텀,90.54,74.3,11.72,aggressive,mid,대기 관찰,눌림 대기,,2026-06-08 15:19:22 KST
kr,010950,010950,자동선별 · 눌림목 · 모멘텀,눌림목 · 모멘텀,눌림목 · 모멘텀,90.35,82.4,8.11,conservative,mid,오늘 진입,수렴 진입,,2026-06-08 15:19:22 KST
kr,032830,032830,자동선별 · 눌림목 · 모멘텀,눌림목 · 모멘텀,눌림목 · 모멘텀,90.27,77.4,12.09,aggressive,mid,대기 관찰,눌림 대기,,2026-06-08 15:19:22 KST
kr,086790,086790,자동선별 · 눌림목 · 모멘텀,눌림목 · 모멘텀,눌림목 · 모멘텀,89.79,79.6,8.31,conservative,mid,오늘 진입,즉시 진입,,2026-06-08 15:19:22 KST
kr,454910,454910,자동선별 · 눌림목 · 모멘텀,눌림목 · 모멘텀,눌림목 · 모멘텀,87.06,72.3,11.48,aggressive,mid,대기 관찰,눌림 대기,,2026-06-08 15:19:22 KST
kr,034730,034730,자동선별 · 눌림목 · 모멘텀,눌림목 · 모멘텀,눌림목 · 모멘텀,86.35,71.3,8.74,balanced,mid,대기 관찰,눌림 대기,,2026-06-08 15:19:22 KST
