market,symbol,name,memo,targetReason,autoWatchCategory,autoWatchScore,finalScore,expectedValue,mode,horizon,decisionBucket,timingLabel,candidateTypeLabel,updated_at
us,CAT,Caterpillar,자동선별 · 눌림목 · 모멘텀,눌림목 · 모멘텀,눌림목 · 모멘텀,90.85,79.6,8.84,conservative,mid,오늘 진입,즉시 진입,,2026-06-08 15:19:22 KST
us,XLE,Energy ETF,자동선별 · 눌림목 · 모멘텀,눌림목 · 모멘텀,눌림목 · 모멘텀,90.52,76.5,9.37,conservative,mid,오늘 진입,수렴 진입,,2026-06-08 15:19:22 KST
us,ETN,Eaton,자동선별 · 눌림목 · 모멘텀,눌림목 · 모멘텀,눌림목 · 모멘텀,89.19,76.2,8.58,conservative,mid,오늘 진입,즉시 진입,,2026-06-08 15:19:22 KST
us,COHR,COHR,자동선별 · 눌림목 · 모멘텀,눌림목 · 모멘텀,눌림목 · 모멘텀,89.16,74.6,9.04,balanced,mid,오늘 진입,즉시 진입,,2026-06-08 15:19:22 KST
us,BBAI,BigBear.ai,자동선별 · 눌림목 · 모멘텀,눌림목 · 모멘텀,눌림목 · 모멘텀,88.94,73.2,9.16,balanced,mid,오늘 진입,조건부 진입,,2026-06-08 15:19:22 KST
us,HUT,Hut 8,자동선별 · 눌림목 · 모멘텀,눌림목 · 모멘텀,눌림목 · 모멘텀,87.54,72.0,8.99,balanced,mid,오늘 진입,즉시 진입,,2026-06-08 15:19:22 KST
us,CRWD,CrowdStrike,자동선별 · 눌림목 · 모멘텀,눌림목 · 모멘텀,눌림목 · 모멘텀,85.46,71.8,8.48,balanced,mid,대기 관찰,눌림 대기,,2026-06-08 15:19:22 KST
us,NBIS,네비우스 그룹,자동선별 · 눌림목 · 모멘텀,눌림목 · 모멘텀,눌림목 · 모멘텀,85.27,72.9,8.91,balanced,mid,대기 관찰,눌림 대기,,2026-06-08 15:19:22 KST
us,ORCL,Oracle,자동선별 · 눌림목 · 모멘텀,눌림목 · 모멘텀,눌림목 · 모멘텀,84.64,72.3,8.59,balanced,mid,대기 관찰,눌림 대기,,2026-06-08 15:19:22 KST
us,PANW,Palo Alto Networks,자동선별 · 눌림목 · 모멘텀,눌림목 · 모멘텀,눌림목 · 모멘텀,84.35,72.0,8.36,balanced,mid,대기 관찰,눌림 대기,,2026-06-08 15:19:22 KST
us,DDOG,Datadog,자동선별 · 눌림목 · 모멘텀,눌림목 · 모멘텀,눌림목 · 모멘텀,82.73,72.6,5.78,balanced,mid,대기 관찰,눌림 대기,,2026-06-08 15:19:22 KST
us,ON,ON Semiconductor,자동선별 · 눌림목 · 모멘텀,눌림목 · 모멘텀,눌림목 · 모멘텀,80.47,69.3,5.52,balanced,mid,대기 관찰,눌림 대기,,2026-06-08 15:19:22 KST
